name,clean_time,additional_time,threshold_comparisions,cpp,python,unique,param,unique_param,files
asctec base,129.500218,173.734988,57,35,22,46,49,38,12
water sampler,26.449281,30.059060,30,0,30,28,9,9,7
crop surveying,132.512369,167.488969,3,3,0,3,3,3,3
cob external,21.947208,20.998927,0,0,0,0,0,0,0
cob common,27.223065,27.066678,0,0,0,0,0,0,0
cob_robots,15.343632,15.212368,0,0,0,0,0,0,0
Cob Environments,14.511312,14.553216,0,0,0,0,0,0,0
Cob Command Tools,35.197940,70.582154,151,142,9,37,142,28,6
Cob calibration data,2.276047,2.244597,0,0,0,0,0,0,0
Cob substitute,15.118888,15.177244,0,0,0,0,0,0,0
cob_driver,221.021270,358.763973,13,9,4,11,9,7,6
shcunk modular,68.464333,131.869167,9,9,0,3,9,3,1
careobot contro,71.323238,114.587245,17,17,0,9,17,9,4
careobot perception,50.189399,61.422392,0,0,0,0,0,0,0
careobot manipulation,55.280093,140.078262,6,0,6,4,0,0,1
careobot evnironment perception,0.661967,0.646471,0,0,0,0,0,0,0
careobot navigation perception,24.150320,55.114892,11,11,0,8,11,8,1
navigation stack,172.623571,308.859603,46,45,1,26,45,25,9
Baxter Robot,29.491794,29.451442,13,0,13,7,0,0,4
Realtime tools,5.225396,5.738240,0,0,0,0,0,0,0
Control Toolbox,8.125366,12.410590,2,0,2,2,0,0,1
Ros Control,42.358465,51.704026,0,0,0,0,0,0,0
Ros Controllers,47.190732,81.438460,10,10,0,6,10,6,3
BWI from Texas,241.486559,223.991381,8,0,8,6,0,0,2
AR Tracking,79.781244,101.613765,0,0,0,0,0,0,0
AprilTags Tracking,35.642222,40.951151,0,0,0,0,0,0,0
Airbotix ros package,18.490584,18.456657,3,0,3,3,2,2,3
Asctec Mav Pacakge,61.817786,301.354521,0,0,0,0,0,0,0
UOS Tools,27.406631,33.764744,6,0,6,5,5,4,1
Calvin Ros Stack,35.121605,43.250701,0,0,0,0,0,0,0
CrazyFlie Ros Stack,17.406110,17.041048,32,0,32,19,1,1,5
Ros Concert,109.602689,115.907285,3,0,3,2,0,0,2
ROS Create Driver,19.079273,18.909228,38,0,38,26,15,6,2
ROS Darwin,15.304861,15.001186,0,0,0,0,0,0,0
ROS Descartes,55.668436,68.113744,0,0,0,0,0,0,0
Func Maninulators,44.780094,49.003409,0,0,0,0,0,0,0
ros filter library,8.952956,13.111237,0,0,0,0,0,0,0
graft,22.915994,37.600249,0,0,0,0,0,0,0
Rail Pick and place library,110.365246,747.198900,0,0,0,0,0,0,0
Grizzly robot,25.955180,25.627337,0,0,0,0,0,0,0
Hector Slam,49.686462,81.608186,12,12,0,11,12,11,2
Hector Arm,19.843454,23.103267,0,0,0,0,0,0,0
Hector navigation,58.327325,78.297810,15,15,0,13,15,13,2
Hector diagnostics,60.238753,78.348495,15,15,0,13,15,13,2
Hector turtlebot,17.519466,19.294587,0,0,0,0,0,0,0
Husky Ros,17.075467,16.969568,0,0,0,0,0,0,0
ICART MINI,34.141719,51.118173,0,0,0,0,0,0,0
innok_heros,2.695924,2.705733,0,0,0,0,0,0,0
Jaco Robot Arm,38.272785,129.784421,10,10,0,3,10,3,2
Calibration,61.945922,96.273681,0,0,0,0,0,0,0
jsk_db,16.781018,13.891639,0,0,0,0,0,0,0
jsk smart apps,13.880281,13.952946,0,0,0,0,0,0,0
jsk_recognition,2.099266,1.697036,0,0,0,0,0,0,0
jsk_vis,13.917273,13.874269,0,0,0,0,0,0,0
jsk_control,61.083744,59.660118,53,0,53,30,4,1,12
jsk_planning,13.964550,14.530875,0,0,0,0,0,0,0
jsk_roseus,13.938750,14.084868,0,0,0,0,0,0,0
jsk_travis,2.305374,2.258998,0,0,0,0,0,0,0
kobuki,52.520333,69.799116,19,0,19,18,0,0,6
kobuki_soft,22.852569,25.931266,1,1,0,1,1,1,1
Mav Ros,102.854729,490.928250,7,7,0,4,7,4,4
Maxwell,14.946242,14.834617,4,0,4,4,0,0,1
Motoman,53.733298,81.707752,0,0,0,0,0,0,0
NAO Ros,20.596033,24.976977,1,0,1,1,0,0,1
NAO Robot repo,42.271233,42.560825,1,0,1,1,0,0,1
NAO Extras,24.247866,65.280901,26,26,0,17,26,17,2
NAO interaction,18.823452,18.813231,0,0,0,0,0,0,0
Naopi bridge,42.512265,43.557181,0,0,0,0,0,0,0
nao camera,3.354294,3.374081,0,0,0,0,0,0,0
nao virtual,14.305088,14.463893,0,0,0,0,0,0,0
nao viz,14.587964,14.968800,0,0,0,0,0,0,0
nao sensors,6.896484,6.833405,0,0,0,0,0,0,0
Nav2 platform,19.537903,22.179384,0,0,0,0,0,0,0
neo robot,39.086206,54.234071,3,3,0,3,3,3,3
next stage,16.620216,15.825027,0,0,0,0,0,0,0
novatel_spann,17.789785,18.288676,2,0,2,2,2,2,1
p2 os robot,31.718285,67.195912,18,0,0,14,18,14,2
robot rescue,32.528001,55.272894,0,0,0,0,0,0,0
People tracking ros,65.296875,132.861989,24,24,0,8,24,8,3
Pepper robot for stuff,14.922523,14.872434,0,0,0,0,0,0,0
rail_segmentation,18.894469,30.553955,0,0,0,0,0,0,0
rail ceiling,11.802941,17.748615,1,1,0,1,1,1,1
robitician ric,28.597711,32.676464,16,0,16,13,0,0,2
segbot,28.105866,31.104008,1,0,1,1,0,0,1
segbot apps,30.451194,67.414336,0,0,0,0,0,0,0
turtlebot apps,73.849108,93.246320,8,1,7,7,5,4,3
turtlebot interactions,18.706664,19.313135,0,0,0,0,0,0,0
turtlebot,18.240803,19.490479,0,0,0,0,0,0,0
turtlebot create,18.959503,19.021737,38,0,38,26,15,6,2
turtlebot arm,48.478247,150.457732,0,0,0,0,0,0,0
ros universial robot ,27.087475,29.627453,0,0,0,0,0,0,0
ocs library,68.329671,113.032621,13,3,10,8,3,3,5
sr utils,17.404414,17.121868,0,0,0,0,0,0,0
sr manipulation,0.651960,0.639125,1,0,1,1,0,0,1
sr demo,0.646439,0.641225,9,0,9,3,9,3,1
app_manager,8.199352,8.061419,1,0,1,1,0,0,1
arm_nav,15.971746,15.964620,0,0,0,0,0,0,0
pr futre,0.664562,0.668628,0,0,0,0,0,0,0
pre2 apps,33.199759,623.598477,27,27,0,13,27,13,2
pr2_colibraiton,33.502681,46.160907,0,0,0,0,0,0,0
/pr2_common,20.919845,21.258705,0,0,0,0,0,0,0
pr2_common_actions,33.284321,55.056445,0,0,0,0,0,0,0
pr2_delivery,3.643710,3.486309,0,0,0,0,0,0,0
pr2_developer_key,14.111068,14.095699,0,0,0,0,0,0,0
pr2_doors,14.093067,14.161036,0,0,0,0,0,0,0
pr2_kinematics,49.376986,45.028658,0,0,0,0,0,0,0
pr2_mechanism_msgs,9.391798,9.415210,0,0,0,0,0,0,0
pr2_navigation,69.540619,82.400617,7,7,0,4,7,4,3
pr2_navigation_apps,0.558008,0.535835,0,0,0,0,0,0,0
pr2_pbd,0.570038,0.563826,0,0,0,0,0,0,0
pr2_precise_trajectory,13.941249,13.880816,4,0,4,3,3,2,1
pr2_self_test,38.717068,50.782594,1,1,0,1,1,1,1
pr2_sheild_telop,2.306758,2.208310,0,0,0,0,0,0,0
pr2_surrogate,11.616119,19.375787,3,3,0,2,3,2,2
rqt_pr2_dashboard,2.416767,2.478970,0,0,0,0,0,0,0
willow_maps,2.272352,2.867974,0,0,0,0,0,0,0
