name,c++ Files,c++ LOC,Headers,Header LOC,Python Files,Python LOC
pass unit tests,10,351,0,0,0,0
asctec base,84,7989,25,2131,14,1018
water sampler,4,762,0,0,20,1217
crop surveying,58,4462,33,1665,0,0
cob external,5,868,125,14681,0,0
cob common,0,0,0,0,1,25
cob_robots,0,0,0,0,3,101
Cob Environments,0,0,0,0,0,0
Cob Command Tools,8,1618,5,477,30,4813
Cob calibration data,0,0,0,0,0,0
Cob substitute,0,0,0,0,1,1
careobot contro,29,5492,21,1255,3,305
careobot perception,9,2014,8,520,1,103
careobot manipulation,10,29853,3,342,24,1277
careobot evnironment perception,30,6080,33,2420,14,1004
careobot navigation perception,3,622,1,48,0,0
navigation stack,96,16289,89,4090,11,295
Baxter Robot,0,0,0,0,65,5546
Realtime tools,2,72,5,350,1,21
Control Toolbox,8,704,8,238,1,20
Ros Control,40,5361,50,2698,13,831
Ros Controllers,33,4176,32,2762,5,370
BWI from Texas,91,13232,99,4493,30,2600
AR Tracking,83,13869,63,3408,0,0
AprilTags Tracking,18,1436,25,733,0,0
Airbotix ros package,0,0,3,132,20,1747
Asctec Mav Pacakge,12,1923,53,2729,0,0
UOS Tools,8,525,3,139,7,465
Calvin Ros Stack,4,495,1,26,1,28
CrazyFlie Ros Stack,0,0,0,0,10,613
Ros Concert,16,1444,7,258,431,33911
ROS Create Driver,0,0,0,0,15,1151
ROS Darwin,0,0,0,0,4,364
ROS Descartes,24,3293,18,1254,0,0
Func Maninulators,24,42056,2,221,0,0
ros filter library,12,680,8,1263,0,0
graft,10,1787,7,270,0,0
Rail Pick and place library,30,3265,23,884,0,0
Grizzly robot,9,721,6,279,0,0
Hector Slam,14,1676,32,2291,0,0
Hector Arm,3,156,1,39,1,48
Hector navigation,14,2783,7,370,0,0
Hector diagnostics,14,2783,7,370,0,0
Hector turtlebot,2,63,0,0,0,0
Husky Ros,0,0,0,0,0,0
ICART MINI,7,678,2,54,1,36
innok_heros,0,0,0,0,0,0
Jaco Robot Arm,8,2379,9,1083,0,0
Calibration,32,2567,13,477,39,4326
jsk_db,0,0,0,0,0,0
jsk_recognition,0,0,0,0,0,0
jsk smart apps,3,167,17,223277,9,574
jsk_vis,0,0,0,0,0,0
jsk_control,9,1209,4,676,54,3802
jsk_planning,0,0,0,0,0,0
jsk_roseus,0,0,0,0,0,0
jsk_travis,0,0,0,0,1,231
kobuki,15,1719,9,1053,37,2268
kobuki_soft,4,213,2,84,0,0
Mav Ros,40,6953,15,853,9,503
Maxwell,0,0,0,0,1,55
Motoman,22,3532,25,1704,1,84
NAO Ros,2,87,0,0,21,1999
NAO Robot repo,3,614,1,41,24,2163
NAO Extras,4,854,1,77,0,0
NAO interaction,0,0,0,0,2,407
Naopi bridge,8,978,3,122,33,10387
nao camera,4,437,2,79,3,241
nao virtual,0,0,0,0,1,21
nao viz,0,0,0,0,7,253
nao sensors,5,465,2,79,7,468
Nav2 platform,3,364,1,34,0,0
neo robot,14,2493,12,805,0,0
next stage,0,0,0,0,19,1284
novatel_spann,0,0,0,0,11,674
p2 os robot,11,7462,6,591,0,0
robot rescue,12,654,0,0,0,0
